Date,Flight Number,Site,Pilot,Description,Flight Start Time,# of Missions,Take Off,Mission 1 Start,Mission 1 Stop,Mission 2 Start,Mission 2 Stop,Mission 3 Start,Mission 3 Stop,Touch Down,Top Licor Data,Vehicle Data,Flight Kestrel (Miss Othmar),Weather Data (Met Tower & Miss Baker)
07/06/2021,F14,Canopy Tower,PF,HP Waypoint ID,10:56:53,0,10:59:27,NA,NA,NA,NA,NA,NA,11:14:24,,,,https://drive.google.com/file/d/16VXtXHmdoOHgQOq1Se_1Xo3pjvkUNBrX/view?usp=sharing; https://drive.google.com/file/d/1504QqPY0cZZCxO7JBcCJEtVYWjUN56mQ/view?usp=sharing
07/06/2021,F15,Canopy Tower,PF,VP x 2,11:20:14,2,11:21:03,11:23:17,11:27:42,11:28:02,11:32:32,NA,NA,11:34:56,https://docs.google.com/spreadsheets/d/1KptFGJoV1SkztDAV4JUN-utPicAJtrQL8_c8rEpQq8s/edit?usp=sharing,,,https://drive.google.com/file/d/1504QqPY0cZZCxO7JBcCJEtVYWjUN56mQ/view?usp=sharing
07/06/2021,F16,Canopy Tower,PF,VP x 1,14:19:31,1,14:21:52,14:24:36,14:29:02,NA,NA,NA,NA,14:31:30,https://docs.google.com/spreadsheets/d/17seovcqeR6SE9MO-wcfSEmyX0nPZ_bUyFPR5_ql-dO4/edit?usp=sharing,,,https://drive.google.com/file/d/10XMwjg5-ku0Pt8w_28QttLGoccYJ4mqs/view?usp=sharing
07/06/2021,F17,Canopy Tower,PF,HP (10m dip),15:03:03,1,15:05:18,15:09:34,15:19:49,NA,NA,NA,NA,15:21:19,https://docs.google.com/spreadsheets/d/1XyNPRMExEXDyvTIBWKGiZHzghz_DocTQnvApJPI78gE/edit?usp=sharing,,,https://drive.google.com/file/d/1ltg8xqy571CkV9vOrCqgHbeMGQbD6_7p/view?usp=sharing
07/06/2021,F18,Canopy Tower,PF,HP (10m dip),15:29:10,1,15:30:40,15:33:42,15:40:35,NA,NA,NA,NA,15:42:50,https://docs.google.com/spreadsheets/d/1wkaFzCb7VPCvzbR1K6CchEaBL2wmCAa7KN3HXAr_apM/edit?usp=sharing,,,https://drive.google.com/file/d/1ltg8xqy571CkV9vOrCqgHbeMGQbD6_7p/view?usp=sharing
07/06/2021,F19,Canopy Tower,PF,VP x 1,15:48:13,1,15:49:25,15:52:04,15:56:31,NA,NA,NA,NA,15:58:13,https://docs.google.com/spreadsheets/d/1AdzfEGOnMdnT9GwHz-HmULwyPwUnMo_KXWm4z6pAm-Y/edit?usp=sharing,,,https://drive.google.com/file/d/1ltg8xqy571CkV9vOrCqgHbeMGQbD6_7p/view?usp=sharing
07/06/2021,F20,Canopy Tower,PF,VP x 1,16:42:11,1,16:43:01,16:45:32,16:50:00,NA,NA,NA,NA,16:51:59,https://docs.google.com/spreadsheets/d/1D6NtkHlqbEvE9qbTmQrCw4c5nLYDhQjj9H-wIFDhaOA/edit?usp=sharing,,,https://drive.google.com/file/d/1yePFc5UYatHgOZb3BUiAtVOjmiJ7GGzv/view?usp=sharing
07/07/2021,F21,Carbon Farm,PF,VP x 2,5:53:30,2,5:54:22,5:57:31,5:59:38,6:03:08,6:07:11,NA,NA,6:09:15,https://docs.google.com/spreadsheets/d/11LjohW6Z9Kt_CwMJhHz6GifLPgesoPEXAiys6EX1ISQ/edit?usp=sharing,,https://docs.google.com/spreadsheets/d/1Sq9Eyr8WFxMNGkJIusQ1KXG8A7oSlQZiKeEkiWC-ZE0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1bAjfXJ_99xZd55rPbzPb9NrF03DHVjAmmue_klzAnoE/edit?usp=sharing
07/07/2021,F22,Carbon Farm,PF,VP x 2,6:12:25,2,6:13:19,6:15:31,6:19:34,6:20:04,6:24:10,NA,NA,6:26:02,https://docs.google.com/spreadsheets/d/1K9ABksx7v3PaCMKH1HlaUrSvnp2xjk66MrJAyDz6G8M/edit?usp=sharing,,https://docs.google.com/spreadsheets/d/1ymjg6OMt3kREJUqHm3U_dFY6cf0TIiNGHJqpk4p2FuA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1ORv4z6xQ1JOIcXOLh33irWRS8XHZ6ysmTxTOpkXNbyQ/edit?usp=sharing
07/07/2021,F23,Carbon Farm,PF,VP x 2,6:28:48,2,6:29:37,6:31:12,6:35:20,6:35:42,6:39:48,NA,NA,6:42:17,https://docs.google.com/spreadsheets/d/19atyS2Fgx5jqnTY72rtM4k5J9ayTyZDuiwRw39h4qFM/edit?usp=sharing,,https://docs.google.com/spreadsheets/d/1V6SV74YvKJweenh_TDCJSUkSkeJd_t5arC1d_5n7uj0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1eV4kEmjk1TxZcG5014sJitKsnNyqKjdm4klOPyr0dyE/edit?usp=sharing
